Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)
0	Default BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1
1	Default BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1
2	Default BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	3	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1
3	Default BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	4	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1
4	Default BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	5	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1
5	Default BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	6	JCommTable6.R1C0	1	AD JCommTable6.R1C0	1
6	Default BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	7	JCommTable6.R0C0	1	AD JCommTable6.R0C0	1
7	Default BKT Controller(1)	AD 8_1_plus_1_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	done	1	AD done	1
8	Default BKT Controller(1)	AD 3_4_plus_2_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	Single-KC	9	done	2	AD done	2
9	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	10	JCommTable8.R0C0	2	AD JCommTable8.R0C0	2
10	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	11	JCommTable6.R1C0	2	AD JCommTable6.R1C0	2
11	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	Single-KC	12	JCommTable6.R0C0	2	AD JCommTable6.R0C0	2
12	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	13	JCommTable4.R1C0	2	AD JCommTable4.R1C0	2
13	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	Single-KC	14	JCommTable5.R0C0	2	AD JCommTable5.R0C0	2
14	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	15	JCommTable4.R0C0	2	AD JCommTable4.R0C0	2
15	Default BKT Controller(1)	AD 3_4_plus_2_6	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	16	JCommTable5.R1C0	2	AD JCommTable5.R1C0	2
16	Default BKT Controller(1)	AD 2_10_plus_7_5	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	17	JCommTable8.R0C0	3	AD JCommTable8.R0C0	3
17	Default BKT Controller(1)	AD 2_10_plus_7_5	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	18	JCommTable4.R1C0	3	AD JCommTable4.R1C0	3
18	Default BKT Controller(1)	AD 2_10_plus_7_5	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	1	1	0	Single-KC	19	JCommTable4.R0C0	3	AD JCommTable4.R0C0	3
19	Default BKT Controller(1)	AD 2_10_plus_7_5	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	Single-KC	20	JCommTable6.R0C0	3	AD JCommTable6.R0C0	3
20	Default BKT Controller(1)	AD 2_10_plus_7_5	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	Single-KC	21	JCommTable5.R0C0	3	AD JCommTable5.R0C0	3
21	Default BKT Controller(1)	AD 2_10_plus_7_5	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	0	Single-KC	22	JCommTable6.R1C0	3	AD JCommTable6.R1C0	3
22	Default BKT Controller(1)	AD 2_10_plus_7_5	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	23	JCommTable5.R1C0	3	AD JCommTable5.R1C0	3
23	Default BKT Controller(1)	AD 2_10_plus_7_5	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	24	done	3	AD done	3
24	Default BKT Controller(1)	AD 8_3_plus_4_4	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	25	JCommTable8.R0C0	4	AD JCommTable8.R0C0	4
25	Default BKT Controller(1)	AD 8_3_plus_4_4	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	26	JCommTable4.R1C0	4	AD JCommTable4.R1C0	4
