Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)
0	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	AD JCommTable8.R0C0	1	JCommTable8.R0C0	1
1	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	AD JCommTable4.R1C0	1	JCommTable4.R1C0	1
2	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	3	AD JCommTable4.R0C0	1	JCommTable4.R0C0	1
3	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	4	AD JCommTable5.R1C0	1	JCommTable5.R1C0	1
4	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	5	AD JCommTable5.R0C0	1	JCommTable5.R0C0	1
5	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	6	AD JCommTable6.R1C0	1	JCommTable6.R1C0	1
6	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	7	AD JCommTable6.R0C0	1	JCommTable6.R0C0	1
7	BKT Controller_random(1)	AD 6_6_plus_9_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	AD done	1	done	1
8	BKT Controller_random(1)	AD 2_4_plus_9_5	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	0	Single-KC	9	AD done	2	done	2
9	BKT Controller_random(1)	AD 2_4_plus_9_5	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	10	AD JCommTable5.R1C0	2	JCommTable5.R1C0	2
10	BKT Controller_random(1)	AD 2_4_plus_9_5	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	11	AD JCommTable4.R1C0	2	JCommTable4.R1C0	2
11	BKT Controller_random(1)	AD 2_4_plus_9_5	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	12	AD JCommTable8.R0C0	2	JCommTable8.R0C0	2
12	BKT Controller_random(1)	AD 2_4_plus_9_5	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	Single-KC	13	AD JCommTable6.R0C0	2	JCommTable6.R0C0	2
13	BKT Controller_random(1)	AD 2_4_plus_9_5	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	Single-KC	14	AD JCommTable6.R1C0	2	JCommTable6.R1C0	2
14	BKT Controller_random(1)	AD 2_4_plus_9_5	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	15	AD JCommTable4.R0C0	2	JCommTable4.R0C0	2
15	BKT Controller_random(1)	AD 2_4_plus_9_5	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	4	1	1	Single-KC	16	AD JCommTable5.R0C0	2	JCommTable5.R0C0	2
16	BKT Controller_random(1)	AD 3_5_plus_9_10	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	17	AD JCommTable8.R0C0	3	JCommTable8.R0C0	3
17	BKT Controller_random(1)	AD 3_5_plus_9_10	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	1	1	0	Single-KC	18	AD JCommTable4.R1C0	3	JCommTable4.R1C0	3
18	BKT Controller_random(1)	AD 3_5_plus_9_10	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	3	1	0	Single-KC	19	AD done	3	done	3
19	BKT Controller_random(1)	AD 3_5_plus_9_10	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	20	AD JCommTable5.R1C0	3	JCommTable5.R1C0	3
20	BKT Controller_random(1)	AD 3_5_plus_9_10	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	Single-KC	21	AD JCommTable5.R0C0	3	JCommTable5.R0C0	3
21	BKT Controller_random(1)	AD 3_5_plus_9_10	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	22	AD JCommTable4.R0C0	3	JCommTable4.R0C0	3
22	BKT Controller_random(1)	AD 3_5_plus_9_10	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	Single-KC	23	AD JCommTable6.R0C0	3	JCommTable6.R0C0	3
